UniqueCountries,TotalNumberofShipment,Latitude,Longitude
Côte d'Ivoire,1083,7.9897371,-5.5679458
Vietnam,688,15.9266657,107.9650855
Nigeria,1194,9.6000359,7.9999721
Zambia,683,-14.5189121,27.5589884
Tanzania,519,-6.5247123,35.7878438
Rwanda,430,-1.9646631,30.0644358
Haiti,655,19.1399952,-72.3570972
Zimbabwe,538,-18.4554963,29.7468414
Ethiopia,216,10.2116702,38.6521203
South Africa,1406,-28.8166236,24.991639
Guyana,237,4.8417097,-58.6416891
Namibia,95,-23.2335499,17.3231107
Botswana,70,-23.1681782,24.5928742
Mozambique,631,-19.302233,34.9144977
Kenya,111,1.4419683,38.4313975
Kazakhstan,2,48.1012954,66.7780818
Uganda,779,1.5333554,32.2166578
Kyrgyzstan,2,41.5089324,74.724091
Senegal,3,14.4750607,-14.4529612
Benin,13,9.5293472,2.2584408
Lesotho,4,-29.6039267,28.3350193
Pakistan,15,30.3308401,71.247499
Swaziland,35,-26.5624806,31.3991317
Ghana,58,8.0300284,-1.0800271
Angola,7,-11.8775768,17.5691241
Lebanon,8,33.8750629,35.843409
Sierra Leone,4,8.6400349,-11.8400269
Cameroon,75,4.6125522,13.1535811
South Sudan,164,7.8699431,29.6667897
Burundi,98,-3.426449,29.9324519
Dominican Republic,52,19.0974031,-70.3028026
Malawi,14,-13.2687204,33.9301963
"Congo, DRC",333,-2.9814344,23.8222636
Sudan,46,14.5844444,29.4917691
Mali,17,16.3700359,-2.2900239
Guatemala,15,15.5855545,-90.345759
Togo,3,8.7800265,1.0199765
Afghanistan,3,33.7680065,66.2385139
Liberia,6,5.7499721,-9.3658524
Burkina Faso,2,12.0753083,-1.6880314
Guinea,1,10.7226226,-10.7083587
Libya,8,26.8234472,18.1236723
Belize,1,16.8259793,-88.7600927
